--------- beginning of events
I/auditd  (  172): type=2000 audit(0.0:1): initialized
I/auditd  (  172): type=1403 audit(0.0:2): policy loaded auid=4294967295 ses=4294967295
I/auditd  (  172): type=1404 audit(0.0:3): enforcing=1 old_enforcing=0 auid=4294967295 ses=4294967295
I/auditd  (  172): type=1403 audit(0.0:4): policy loaded auid=4294967295 ses=4294967295
--------- beginning of system
I/Vold    (  176): Vold 2.1 (the revenge) firing up
--------- beginning of crash
I/DEBUG   (  188): debuggerd: Jul 31 2014 17:39:06
I/auditd  (  197): type=1400 audit(0.0:5): avc:  denied  { read write } for  comm="rmt_storage" name="mem" dev="tmpfs" ino=7226 scontext=u:r:rmt:s0 tcontext=u:object_r:kmem_device:s0 tclass=chr_file
I/auditd  (  197): type=1400 audit(0.0:6): avc:  denied  { open } for  comm="rmt_storage" name="mem" dev="tmpfs" ino=7226 scontext=u:r:rmt:s0 tcontext=u:object_r:kmem_device:s0 tclass=chr_file
I/auditd  (  197): type=1400 audit(0.0:7): avc:  denied  { sys_rawio } for  comm="rmt_storage" capability=17  scontext=u:r:rmt:s0 tcontext=u:r:rmt:s0 tclass=capability
I/auditd  (  205): type=1400 audit(0.0:8): avc:  denied  { read write } for  comm="sensors.qcom" name="diag" dev="tmpfs" ino=7314 scontext=u:r:sensors:s0 tcontext=u:object_r:diag_device:s0 tclass=chr_file
I/auditd  (  198): type=1400 audit(0.0:9): avc:  denied  { read write } for  comm="bridgemgrd" name="diag" dev="tmpfs" ino=7314 scontext=u:r:bridge:s0 tcontext=u:object_r:diag_device:s0 tclass=chr_file
I/auditd  (  198): type=1400 audit(0.0:10): avc:  denied  { read write } for  comm="bridgemgrd" name="diag" dev="tmpfs" ino=7314 scontext=u:r:bridge:s0 tcontext=u:object_r:diag_device:s0 tclass=chr_file
I/auditd  (  189): type=1400 audit(0.0:11): avc:  denied  { search } for  comm="surfaceflinger" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/auditd  (  189): type=1400 audit(0.0:12): avc:  denied  { search } for  comm="surfaceflinger" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/auditd  (  471): type=1400 audit(0.0:13): avc:  denied  { search } for  comm="BootAnimation" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:bootanim:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/auditd  (  471): type=1400 audit(0.0:14): avc:  denied  { search } for  comm="BootAnimation" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:bootanim:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/auditd  (  189): type=1400 audit(0.0:15): avc:  denied  { search } for  comm="surfaceflinger" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:surfaceflinger:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/boot_progress_start(  204): 6419
I/auditd  (  471): type=1400 audit(0.0:16): avc:  denied  { search } for  comm="BootAnimation" name="tmp" dev="mmcblk0p30" ino=228034 scontext=u:r:bootanim:s0 tcontext=u:object_r:shell_data_file:s0 tclass=dir
I/boot_progress_preload_start(  204): 7179
I/boot_progress_preload_end(  204): 9971
I/SystemServer(  575): Entered the Android system server!
I/boot_progress_system_run(  575): 10117
I/SystemServiceManager(  575): Starting com.android.server.pm.Installer
I/Installer(  575): Waiting for installd to be ready.
I/Installer(  575): connecting...
I/SystemServiceManager(  575): Starting com.android.server.power.PowerManagerService
I/SystemServiceManager(  575): Starting com.android.server.am.ActivityManagerService$Lifecycle
I/ActivityManager(  575): Memory class: 192
I/IntentFirewall(  575): Read new rules (A:0 B:0 S:0)
I/SystemServiceManager(  575): Starting com.android.server.display.DisplayManagerService
I/SystemServer(  575): Telephony Registry
I/DisplayManagerService(  575): Display device added: DisplayDeviceInfo{"Built-in Screen": 1200 x 1920, 60.0 fps, density 320, 320.842 x 322.966 dpi, touch INTERNAL, rotation 0, type BUILT_IN, state UNKNOWN, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS}
I/SystemServer(  575): Scheduling Policy
I/SystemServiceManager(  575): Starting phase 100
I/SystemServer(  575): Package Manager
I/boot_progress_pms_start(  575): 10535
W/PackageManager(  575): No directory /oem/etc/permissions, skipping
D/SELinuxMMAC(  575): Couldn't find install policy /data/security/mac_permissions.xml
D/SELinuxMMAC(  575): Using install policy file /system/etc/security/mac_permissions.xml
I/boot_progress_pms_system_scan_start(  575): 10724
W/PackageParser(  575): No actions in intent filter at /system/priv-app/Contacts.apk Binary XML file line #375
W/NativeHelper(  575): Could not delete native binary: /system/lib/DefaultContainerService/libdefcontainer_jni.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libAppDataSearch.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libconscrypt_gmscore_jni.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libgames_rtmp_jni.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libgcastv2_base.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libgcastv2_support.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libgmscore.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libjgcastservice.so
W/NativeHelper(  575): Could not delete native binary: /system/lib/PrebuiltGmsCore/libocrclient.so
W/PackageParser(  575): No actions in intent filter at /system/priv-app/SetupWizard.apk Binary XML file line #149
W/PackageParser(  575): No actions in intent filter at /system/priv-app/SetupWizard.apk Binary XML file line #225
W/PackageParser(  575): No actions in intent filter at /system/priv-app/SetupWizard.apk Binary XML file line #233
